"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
ALGABO-SET-FROZEN-SHAMPOO-200-ml-SPLASH-125-ml;"ALGABO SET FROZEN SHAMPOO 200 ml + SPLASH 125 ml";;;;;;;;1,738.00;;0.00;;Furey5280;7791274198472;SI;NO;;;;;Princesas;SI;Furey;;;1,448.00
ALGABO-COCOA-BEACH-PROTECTOR-SOLAR-F-15-x-200-ml;"ALGABO COCOA BEACH PROTECTOR SOLAR F 15 x 200 ml";;;;;;;;869.00;;0.00;;Furey5281;7791274004087;SI;NO;;;;;Chapoteando;SI;Furey;;;695.00
ALGABO-COCOA-BEACH-PROTECTOR-SOLAR-F-30-x-200-ml;"ALGABO COCOA BEACH PROTECTOR SOLAR F 30 x 200 ml";;;;;;;;1,209.00;;0.00;;Furey5282;7791274004094;SI;NO;;;;;Chapoteando;SI;Furey;;;967.00
ALGABO-COCOA-BEACH-PROTECTOR-SOLAR-F-45-x-200-ml;"ALGABO COCOA BEACH PROTECTOR SOLAR F 45 x 200 ml";;;;;;;;1,411.00;;0.00;;Furey5283;7791274004100;SI;NO;;;;;Chapoteando;SI;Furey;;;1,129.00
ALGABO-COCOA-BEACH-LOCION-SPRAY-BRONZER-FPS-8-x-250-ml;"ALGABO COCOA BEACH LOCION SPRAY BRONZER FPS 8 x 250 ml";;;;;;;;2,387.00;;0.00;;Furey5284;7791274004445;SI;NO;;;;;Chapoteando;SI;Furey;;;1,989.00
ALGABO-COCOA-BEACH-LOCION-SPRAY-BRONZER-FPS-15-x-250-ml;"ALGABO COCOA BEACH LOCION SPRAY BRONZER FPS 15 x 250 ml";;;;;;;;2,640.00;;0.00;;Furey5285;7791274004797;SI;NO;;;;;Chapoteando;SI;Furey;;;2,200.00
ALGABO-COCOA-BEACH-LOCION-SPRAY-BRONZER-FPS-30-x-250-ml;"ALGABO COCOA BEACH LOCION SPRAY BRONZER FPS 30 x 250 ml";;;;;;;;3,342.00;;0.00;;Furey5286;7791274004810;SI;NO;;;;;Chapoteando;SI;Furey;;;2,785.00
CINTA-ADHESIVA-NEUROMUSCULAR-KIN-HIPOALERGIC-5-cm-x-1-mts-ROJO;"CINTA ADHESIVA NEUROMUSCULAR KIN HIPOALERGIC 5 cm x 1 mts ROJO";;;;;;;;685.00;;0.00;;Furey5288;7798026341445;SI;NO;;;;;Hipoalergic;SI;Furey;;;571.00
CINTA-ADHESIVA-NEUROMUSCULAR-KIN-HIPOALERGIC-5-cm-x-1-mts-AZUL;"CINTA ADHESIVA NEUROMUSCULAR KIN HIPOALERGIC 5 cm x 1 mts AZUL";;;;;;;;685.00;;0.00;;Furey5289;7798026341414;SI;NO;;;;;Hipoalergic;SI;Furey;;;571.00
CINTA-ADHESIVA-NEUROMUSCULAR-KIN-HIPOALERGIC-5-cm-x-1-mts-NEGRO;"CINTA ADHESIVA NEUROMUSCULAR KIN HIPOALERGIC 5 cm x 1 mts NEGRO";;;;;;;;685.00;;0.00;;Furey5290;7798026341407;SI;NO;;;;;Hipoalergic;SI;Furey;;;571.00
CINTA-ADHESIVA-NEUROMUSCULAR-KIN-HIPOALERGIC-5-cm-x-1-mts-PIEL;"CINTA ADHESIVA NEUROMUSCULAR KIN HIPOALERGIC 5 cm x 1 mts PIEL";;;;;;;;685.00;;0.00;;Furey5291;7798026341438;SI;NO;;;;;Hipoalergic;SI;Furey;;;571.00
BALANZA-MECANICA-DE-BAniO-HASTA-130-kg;"BALANZA MECANICA DE BAÑO, HASTA 130 kg";;;;;;;;7,982.00;;0.00;;Furey5292;7798028881895;SI;NO;;;;;Silfab;SI;Furey;;;6,652.00
BALANZA-ELEC-ULTRA-SLIM-HASTA-150-KGS-BE211;"BALANZA ELEC. ULTRA SLIM (HASTA 150 KGS.) BE211";;;;;;;;9,557.00;;0.00;;Furey5293;7798028883073;SI;NO;;;;;Silfab;SI;Furey;;;7,964.00
esme-gel-exfoliante-suave-pomo-x-130-g;"ESME GEL EXFOLIANTE SUAVE POMO X 130 G";;;;;;;;531.00;;0.00;;Furey5294;7791199002717;SI;NO;"<p>Gel exfoliante suave dermatol&oacute;gicamente testeado.<br />
Remueve las impurezas y c&eacute;lulas muertas de la piel.</p>
";;;;Barrocutina;SI;Furey;;;425.00
esme-crema-dental-desensibilizante-y-antiseptica-c-fluor-x-85-g;"ESME CREMA DENTAL DESENSIBILIZANTE Y ANTISÉPTICA C / FLÚOR X 85 G";;;;;;;;210.00;;0.20;;Furey5296;7791199000034;SI;NO;"<p>Crema dental desensibilizante y antis&eacute;ptica con fl&uacute;or.<br />
Ayuda a prevenir y controlar la sensibilidad dental, combatir la placa bacteriana y mantener la buena salud de las enc&iacute;as.<br />
&nbsp;</p>
";;;;Esmedent;SI;Furey;;;168.00
esme-crema-dental-blanqueadora-x-100-g;"ESME CREMA DENTAL BLANQUEADORA X 100 G";;;;;;;;146.00;;0.20;;Furey5297;7791199000331;SI;NO;"<p>Crema dental blanqueadora, ayuda a remover la placa y prevenir manchas.<br />
- M&aacute;xima protecci&oacute;n anticaries.</p>
";;;;Esmedent;SI;Furey;;;117.00
esme-crema-dental-2-fluor-x-70-g;"ESME CREMA DENTAL 2 FLUOR X 70 G";;;;;;;;221.00;;0.20;;Furey5298;7791199000478;SI;NO;"<p>Crema dental con doble fl&uacute;or y m&aacute;xima protecci&oacute;n anticaries.<br />
Ayuda a remover la placa bacteriana.</p>
";;;;"Fresh dent";SI;Furey;;;177.00
