Identificador de URL,Costo,Precio
SELEC-EST-HIPER-Mx44,2178.0,2439
BABYSEC-ULTRA-JUMBO-Mx68,3383.0,3789
BABYSEC-ULTRA-JUMBO-Gx60,3383.0,3789
BABYSEC-ULTRA-JUMBO-XGx52,3383.0,3789
BABYSEC-ULTRA-JUMBO-XXGx50,3383.0,3789
BABYSEC-ULTRA-REGULAR-XXGx8,526.0,589
BABYSEC-ULTRA-REGULAR-XGx8,526.0,589
BABYSEC-ULTRA-REGULAR-Gx8,526.0,589
BABYSEC-ULTRA-REGULAR-Px12,526.0,589
BABYSEC-ULTRA-REGULAR-Mx8,526.0,589
PAMPERS-PREMIUM-XTR-RN-x36,2269.0,2541
ESTRELLA-JABON-BABY-GLICERINAx60,236.0,264
ESTRELLA-JABON-BABY-SUAVIDADx60,236.0,264
ESTRELLA-JABON-BABY-DUERME-FELIZx60,236.0,264
HUGGIES-FLEXI-COMFORT-Gx60,4817.0,5395
HUGGIES-FLEXI-COMFORT-AHORRO-XXGx50,4817.0,5395
HUGGIES-FLEXI-COMFORT-AHORRO-XXXGx48,4817.0,5395
HUGGIES-FLEXI-COMFORT-Mx68,4817.0,5395
HUGGIES-FLEXI-COMFORT-XGx52,4817.0,5395
KIMBIES-TOALLAS-HUMEDASx48,444.0,497
HUGGIES-JABON-SUAVE-x75,256.0,287
PAMPERS-SUPER-XTR-REG-XGx8,606.0,679
PAMPERS-SUPER-XTR-REG-Px12,606.0,679
PAMPERS-SUPER-XTR-REG-Mx10,606.0,679
PAMPERS-SUPER-XTR-REG-Gx9,606.0,679
PAMPERS-SUPER-XTR-REG-XXGx8,606.0,679
huggies-toalla-frozenx48,668.0,748
PAMPERS-CONFORT-XTR-REG-XXGx8,647.0,725
ESTRELLA-POMPONES-x50,480.0,538
ESTRELLA-ACONDICIONADOR-SUAVESx400,969.0,1085
ESTRELLA-SHAMPOO-CLAROSx400,969.0,1085
ESTRELLA-ACONDICIONADOR-EQUILIBRIOx400,969.0,1085
ESTRELLA-ACONDICIONADOR-CLAROSx400,969.0,1085
ESTRELLA-ACONDICIONADOR-EQUILIBRIOx200,626.0,701
ESTRELLA-SHAMPOO-EQULIBRIOx200,626.0,701
ESTRELLA-ACONDICIONADOR-SUAVESx200,626.0,701
ESTRELLA-OLEO-ALGODONx500,1123.0,1258
estrella-pa-os-maxi-algodonx50,1039.0,1164
ESTRELLA-PA-AL-MEGA-Px30,1666.0,1866
HUGGIES-TOALLA-TRIPLE-PROTECCIONx80,795.0,890
HUGGIES-SUPREME-Px50,3280.0,3674
HUGGIES-TOALLA-PUROx48,1231.0,1379
CARICIA-PANAL-XXGx22,1346.0,1508
estrella-oleo-aloe-250,849.0,951
ESTRELLA-OLEO-MANZANILLAx250,849.0,951
HUGGIES-TOALLA-TRIPLE-PROTECCIONx96,1002.0,1122
UPA-TOALLAS-HUMEDASx100,306.0,343
HUGGIES-SUPREME-PREMATUROSx30,1974.0,2211
ESTRELLA-PA-AL-SUPER-Gx68,4675.0,5236
ESTRELLA-PA-AL-SUPER-JUNIORx50,4675.0,5236
ESTRELLA-PA-AL-SUPER-XGx58,4675.0,5236
pampers-confort-xtr-hiper-px56,2877.0,3222
HUGGIES-PROTECT-AHORRO-XXGx50,4370.0,4894
HUGGIES-PROTECT-AHORRO-Mx68,4370.0,4894
HUGGIES-PROTECT-AHORRO-XGx52,4370.0,4894
HUGGIES-PROTECT-AHORRO-XXXGx48,4370.0,4894
HUGGIES-PROTECT-AHORRO-Gx60,4370.0,4894
HUGGIES-TOALLA-4en1-x80,1110.0,1243
HUGGIES-FLEXI-COMFORT-RNx34,2243.0,2512
HUGGIES-FLEXI-COMFORT-Px30,2243.0,2512
PAMPERS-PREMIUM-HIPER-XGx36,4594.0,5145
HUGGIES-SUPREME-Px17,1585.0,1775
HUGGIES-SUPREME-RNx17,1585.0,1775
HUGGIES-SUPREME-XXXG-x48,5782.0,6476
HUGGIES-SUPREME-XGx52,5782.0,6476
HUGGIES-SUPREME-XXGx50,5782.0,6476
HUGGIES-SUPREME-Mx68,5782.0,6476
HUGGIES-SUPREME-Gx60,5782.0,6476
PAMPERS-PANTS-PC-Mx34,2811.0,3148
PAMPERS-PANTS-PC-Gx30,2811.0,3148
PAMPERS-PANTS-PC-XGx26,2811.0,3148
HUGGIES-FLEXI-COMFORT-Px50,2857.0,3200
PAMPERS-PREMIUM-XTR-MES-XXGx54,5630.0,6306
PAMPERS-PREMIUM-XTR-MES-XGx58,5630.0,6306
PAMPERS-PREMIUM-MES-HP-XGx58,5630.0,6306
PAMPERS-SUPER-XTR-ULTRA-XGx32,2145.0,2402
PAMPERS-CONFORT-XTR-HIPER-XXGx34,3547.0,3973
PAMPERS-CONFORT-XTR-HIPER-XGx36,3547.0,3973
HUGGIES-PROTECT-Px50,2490.0,2789
huggies-crema-protectorax80,2682.0,3004
PAMPERS-CONFORT-XTR-MES-XXGx54,5066.0,5674
ESTRELLA-PA-AL-HIPER-XXGx34,2859.0,3202
ESTRELLA-PA-AL-HIPER-Mx44,2859.0,3202
ESTRELLA-PA-AL-HIPER-Gx40,2859.0,3202
ESTRELLA-PA-AL-HIPER-XGx36,2859.0,3202
HUGGIES-CLASSIC-AHORRO-Mx68,4216.0,4722
HUGGIES-CLASSIC-AHORRO-XXGx50,4216.0,4722
HUGGIES-CLASSIC-AHORRO-XGx52,4216.0,4722
HUGGIES-CLASSIC-AHORRO-Gx60,4216.0,4722
HUGGIES-PROTECT-Px30,1656.0,1855
HUGGIES-CLASSIC-MEGA-Px30,1656.0,1855
PAMPERS-CONFORT-XTR-JUMBO-Gx110,8105.0,9078
PAMPERS-PANTS-PC-MES-Gx64,5981.0,6699
ESTRELLA-OLEO-ALGODONx950,1871.0,2096
HUGGIES-PLUS-PROTECT-XGx32,3175.0,3556
HUGGIES-PLUS-PROTECT-Gx40,3175.0,3556
HUGGIES-SUPREME-Px30,2755.0,3086
HUGGIES-SUPREME-RNx34,2755.0,3086
HUGGIES-TOALLA-TRIPLE-PROTECCIONx48,568.0,636
PAMPERS-TOTAL-PROTECT-XGx36,2426.0,2717
PAMPERS-TOTAL-PROTECT-XXGx34,2426.0,2717
PAMPERS-PREMIUM-XTR-RN-x56,3210.0,3595
ESTRELLA-HISOPOSx100,530.0,594
PAMPERS-PANTS-CS-HIPER-XGx34,3244.0,3633
PAMPERS-PANTS-CS-HIPER-Gx40,3244.0,3633
HUGGIES-TOALLA-4en1-x48,792.0,887
estrella-hisopos-bolsax125,509.0,570
estrella-toallas-humedas-cuidado-x-50,656.0,735
estrella-toallas-humedas-sensiblex50,656.0,735
ESTRELLA-TOALLAS-HUMEDAS-RELAJANTEx50,656.0,735
SELEC-EST-HIPER-XXGx34,2178.0,2439
SELEC-EST-HIPER-Gx40,2178.0,2439
SELEC-EST-SUPER-XXGx56,3561.0,3988
SELEC-EST-SUPER-XGx58,3561.0,3988
SELEC-EST-SUPER-JUNIORx50,3561.0,3988
ESTRELLA-PA-AL-REGULAR-XGx8,779.0,872
ESTRELLA-PA-AL-REGULAR-Gx9,779.0,872
ESTRELLA-PA-AL-REGULAR-XXGx8,779.0,872
